City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Chicama,PE,2021-07-25 19:26:56,-7.8447,-79.1469,68.54,61,11,10.74
1,North Platte,US,2021-07-25 19:26:56,41.1239,-100.7654,87.33,59,1,1.99
2,Ushuaia,AR,2021-07-25 19:23:45,-54.8,-68.3,35.26,87,75,25.32
3,Takoradi,GH,2021-07-25 19:26:56,4.8845,-1.7554,75.83,77,25,10.78
4,Katsuura,JP,2021-07-25 19:26:57,35.1333,140.3,80.11,86,29,11.12
5,Guerrero Negro,MX,2021-07-25 19:26:57,27.9769,-114.0611,77.43,58,92,10.29
6,Rikitea,PF,2021-07-25 19:26:57,-23.1203,-134.9692,70.5,67,76,6.44
7,Hilo,US,2021-07-25 19:26:58,19.7297,-155.09,82.8,86,90,4.61
8,Butaritari,KI,2021-07-25 19:26:58,3.0707,172.7902,81.48,77,86,10.69
9,Ribeira Grande,PT,2021-07-25 19:26:58,38.5167,-28.7,73.8,78,20,9.22
10,Tiksi,RU,2021-07-25 19:26:59,71.6872,128.8694,47.53,82,100,6.6
11,Port Lincoln,AU,2021-07-25 19:26:59,-34.7333,135.8667,55.62,84,100,17.78
12,Torbay,CA,2021-07-25 19:26:59,47.6666,-52.7314,62.76,86,75,9.22
13,Busselton,AU,2021-07-25 19:27:00,-33.65,115.3333,58.08,66,5,20.22
14,Puerto Ayora,EC,2021-07-25 19:25:07,-0.7393,-90.3518,80.56,82,37,11.01
15,Punta Arenas,CL,2021-07-25 19:27:00,-53.15,-70.9167,41.11,60,0,14.97
16,Terra Nova,BR,2021-07-25 19:27:01,-12.3667,-40.6667,79.72,31,16,12.84
17,Camacupa,AO,2021-07-25 19:27:01,-12.0167,17.4833,62.64,36,0,3.36
18,Cape Town,ZA,2021-07-25 19:24:57,-33.9258,18.4232,64.11,58,0,3.44
19,Nikolskoye,RU,2021-07-25 19:27:02,59.7035,30.7861,67.89,67,7,2.46
20,Saint-Philippe,RE,2021-07-25 19:27:02,-21.3585,55.7679,69.35,77,29,11.59
21,Yellowknife,CA,2021-07-25 19:27:02,62.456,-114.3525,63.32,51,40,9.22
22,Moerai,PF,2021-07-25 19:27:03,-22.4333,-151.3333,72.95,80,97,7.94
23,Barrow,US,2021-07-25 19:25:01,71.2906,-156.7887,44.62,87,90,10.36
24,Port Shepstone,ZA,2021-07-25 19:23:17,-30.7414,30.455,59.5,82,0,12.01
25,Kapaa,US,2021-07-25 19:27:03,22.0752,-159.319,82.72,80,75,1.99
26,Vaini,TO,2021-07-25 19:27:04,-21.2,-175.2,68.16,94,20,0.0
27,Anadyr,RU,2021-07-25 19:27:04,64.75,177.4833,52.3,100,90,5.99
28,Mecca,SA,2021-07-25 19:27:04,21.4267,39.8261,88.93,36,42,6.15
29,Mataura,NZ,2021-07-25 19:27:05,-46.1927,168.8643,47.48,92,100,3.22
30,Hermanus,ZA,2021-07-25 19:27:05,-34.4187,19.2345,63.9,54,100,9.86
31,Provideniya,RU,2021-07-25 19:27:05,64.3833,-173.3,46.51,100,90,4.47
32,Jamestown,US,2021-07-25 19:27:06,42.097,-79.2353,85.32,57,40,9.19
33,Brates,RO,2021-07-25 19:24:13,45.8333,26.0667,65.07,73,12,5.55
34,Santa Fe,AR,2021-07-25 19:27:06,-31.6333,-60.7,64.99,62,28,4.0
35,Miandrivazo,MG,2021-07-25 19:27:07,-19.5167,45.4667,75.27,46,93,4.68
36,Chuy,UY,2021-07-25 19:27:07,-33.6971,-53.4616,67.35,82,0,7.56
37,Port-Gentil,GA,2021-07-25 19:27:07,-0.7193,8.7815,76.96,78,75,6.91
38,Sinnamary,GF,2021-07-25 19:27:08,5.3833,-52.95,81.37,75,57,5.37
39,Lukovetskiy,RU,2021-07-25 19:27:08,64.2956,41.9211,48.18,83,19,4.5
40,The Valley,AI,2021-07-25 19:27:08,18.217,-63.0578,84.34,84,40,18.41
41,Laela,TZ,2021-07-25 19:27:09,-8.5667,32.05,51.21,70,6,8.43
42,Oksfjord,NO,2021-07-25 19:22:11,70.2396,22.3479,51.87,99,100,0.83
43,Olafsvik,IS,2021-07-25 19:27:09,64.8945,-23.7142,50.02,88,45,22.84
44,Bluff,NZ,2021-07-25 19:27:10,-46.6,168.3333,47.8,87,100,6.17
